FLORES-200: 2009 EN sentences
OPUS-100 : 1004000 pairs
trainable params: 1,179,648 || all params: 105,527,296 || trainable%: 1.1179
No checkpoint found — starting from scratch
Starting training now!
{'loss': 7.4025, 'grad_norm': 2.084972858428955, 'learning_rate': 0.00047546666666666666, 'epoch': 0.15}
{'loss': 7.2276, 'grad_norm': 2.004699945449829, 'learning_rate': 0.00047493333333333335, 'epoch': 0.15}
{'loss': 7.3876, 'grad_norm': 1.8570902347564697, 'learning_rate': 0.0004744, 'epoch': 0.15}
{'loss': 7.283, 'grad_norm': 3.2740113735198975, 'learning_rate': 0.0004738666666666667, 'epoch': 0.16}
{'loss': 7.2181, 'grad_norm': 2.1967432498931885, 'learning_rate': 0.00047333333333333336, 'epoch': 0.16}
{'eval_loss': 7.294040203094482, 'eval_bleu': 0.0789, 'eval_chrf': 6.9706, 'eval_runtime': 308.8439, 'eval_samples_per_second': 6.476, 'eval_steps_per_second': 0.405, 'epoch': 0.16}
{'loss': 7.2166, 'grad_norm': 1.9281351566314697, 'learning_rate': 0.0004728, 'epoch': 0.16}
{'loss': 7.069, 'grad_norm': 2.1632916927337646, 'learning_rate': 0.0004722666666666667, 'epoch': 0.17}
{'loss': 7.3403, 'grad_norm': 2.056778907775879, 'learning_rate': 0.0004717333333333333, 'epoch': 0.17}
{'loss': 7.2984, 'grad_norm': 1.7779160737991333, 'learning_rate': 0.0004712, 'epoch': 0.17}
{'loss': 7.4851, 'grad_norm': 1.8838467597961426, 'learning_rate': 0.0004706666666666667, 'epoch': 0.18}
{'loss': 7.053, 'grad_norm': 2.248842716217041, 'learning_rate': 0.00047013333333333334, 'epoch': 0.18}
{'loss': 7.3479, 'grad_norm': 1.7645574808120728, 'learning_rate': 0.00046960000000000003, 'epoch': 0.18}
{'loss': 7.5243, 'grad_norm': 1.8449211120605469, 'learning_rate': 0.0004690666666666667, 'epoch': 0.19}
{'loss': 7.1916, 'grad_norm': 2.063824415206909, 'learning_rate': 0.00046853333333333336, 'epoch': 0.19}
{'loss': 6.9899, 'grad_norm': 1.8435478210449219, 'learning_rate': 0.00046800000000000005, 'epoch': 0.19}
{'eval_loss': 7.186319351196289, 'eval_bleu': 0.0663, 'eval_chrf': 5.5766, 'eval_runtime': 467.3276, 'eval_samples_per_second': 4.28, 'eval_steps_per_second': 0.267, 'epoch': 0.19}
{'loss': 7.1059, 'grad_norm': 2.00827693939209, 'learning_rate': 0.00046746666666666663, 'epoch': 0.2}
{'loss': 7.1376, 'grad_norm': 2.8255834579467773, 'learning_rate': 0.0004669333333333333, 'epoch': 0.2}
{'loss': 7.2473, 'grad_norm': 1.9313709735870361, 'learning_rate': 0.0004664, 'epoch': 0.2}
{'loss': 6.925, 'grad_norm': 2.260085344314575, 'learning_rate': 0.00046586666666666664, 'epoch': 0.2}
{'loss': 6.9552, 'grad_norm': 1.989915132522583, 'learning_rate': 0.00046533333333333333, 'epoch': 0.21}
{'loss': 7.2529, 'grad_norm': 2.366269588470459, 'learning_rate': 0.0004648, 'epoch': 0.21}
{'loss': 7.0734, 'grad_norm': 2.8748488426208496, 'learning_rate': 0.00046426666666666666, 'epoch': 0.21}
